"90dd4fd4e6d33ccf4d96134d996c156f","us-east-1","in.c-nlp-test.test","test","copy","","","eq","",""
"90dd4fd4e6d33ccf4d96134d996c156f","us-east-1","in.c-nlp-test.csv-import","csv-import","copy","","","eq","",""
"90dd4fd4e6d33ccf4d96134d996c156f","us-east-1","in.c-nlp-test.nlp-test","nlp-test","copy","","","eq","",""
"f898a5372fd1d789431adcd2d5758302","us-east-1","in.c-nlp-test.test","test.csv","copy","","","eq","",""
"9c48e5db35a843334d8de52703b9fe17","us-east-1","in.c-mailgun.mailing_list_test_snapshot","curr_snapshot","copy","actual","1","eq","",""
"9c48e5db35a843334d8de52703b9fe17","us-east-1","in.c-mailgun.mailing_list_test","in_table","copy","","","","",""
"f958e31ea82ac546f5be1930eeda6497","us-east-1","in.c-sample_data.orders","orders","copy","","","eq","",""
"f958e31ea82ac546f5be1930eeda6497","us-east-1","in.c-sample_data.managers","managers","copy","","","eq","",""
"f958e31ea82ac546f5be1930eeda6497","us-east-1","in.c-sample_data.sales","sales","copy","","","eq","",""
"f958e31ea82ac546f5be1930eeda6497","us-east-1","in.c-sample_data.labor","labor","copy","","","eq","",""
"f958e31ea82ac546f5be1930eeda6497","us-east-1","in.c-sample_data.weather","weather","copy","","","eq","",""
"8a3ac94d5678dcf4371b0b6e68b38ac2","us-east-1","in.c-sample_data.orders","orders","copy","","","eq","",""
"8a3ac94d5678dcf4371b0b6e68b38ac2","us-east-1","in.c-sample_data.managers","managers","copy","","","eq","",""
"8a3ac94d5678dcf4371b0b6e68b38ac2","us-east-1","in.c-sample_data.sales","sales","copy","","","eq","",""
"8a3ac94d5678dcf4371b0b6e68b38ac2","us-east-1","in.c-sample_data.labor","labor","copy","","","eq","",""
"8a3ac94d5678dcf4371b0b6e68b38ac2","us-east-1","in.c-sample_data.weather","weather","copy","","","eq","",""
"76bf29824fc22e3715ab422a41961f51","us-east-1","out.c-data_quality.quality","quality.csv","copy","","","eq","",""
"2d585f9de5b484e8c19e7d03a06c8299","us-east-1","in.c-nlp-test.test","test","copy","","","eq","",""
"2d585f9de5b484e8c19e7d03a06c8299","us-east-1","in.c-nlp-test.csv-import","csv-import","copy","","","eq","-30 minutes","text"
"2d585f9de5b484e8c19e7d03a06c8299","us-east-1","in.c-nlp-test.nlp-test","nlp-test","copy","","","eq","",""
"9904ecefac49efff7c763df3fbb3c8ca","us-east-1","in.c-nlp-test.test","test.csv","copy","","","eq","",""
"9904ecefac49efff7c763df3fbb3c8ca","us-east-1","in.c-kds-team-ex-microsoft-dynamics-563532388.contacts","contacts.csv","copy","","","eq","",""
