"in.c-looker.looker_data_18","us-east-1","5150","88739947","KBC.createdBy.component.id","kds-team.ex-looker","system","2018-11-29T12:27:46+0100"
"in.c-looker.looker_data_18","us-east-1","5150","88739948","KBC.createdBy.configuration.id","466771971","system","2018-11-29T12:27:46+0100"
"in.c-looker.looker_data_18","us-east-1","5150","90797902","KBC.lastUpdatedBy.component.id","kds-team.ex-looker","system","2018-12-05T20:13:39+0100"
"in.c-looker.looker_data_18","us-east-1","5150","90797903","KBC.lastUpdatedBy.configuration.id","466771971","system","2018-12-05T20:13:39+0100"
"in.c-looker.looker_data_43","us-east-1","5150","92325621","KBC.createdBy.component.id","kds-team.ex-looker","system","2018-12-10T13:59:21+0100"
"in.c-looker.looker_data_43","us-east-1","5150","92325622","KBC.createdBy.configuration.id","466771971","system","2018-12-10T13:59:21+0100"
"in.c-looker.looker_data_43","us-east-1","5150","93364160","KBC.lastUpdatedBy.component.id","kds-team.ex-looker","system","2018-12-13T16:27:48+0100"
"in.c-looker.looker_data_43","us-east-1","5150","93364161","KBC.lastUpdatedBy.configuration.id","466771971","system","2018-12-13T16:27:48+0100"
"in.c-looker.looker_table_17","us-east-1","5150","76661490","KBC.createdBy.component.id","kozuch.ex-looker","system","2018-10-23T14:45:51+0200"
"in.c-looker.looker_table_17","us-east-1","5150","76661491","KBC.createdBy.configuration.id","456656792","system","2018-10-23T14:45:51+0200"
"in.c-looker.table_17","us-east-1","5150","76660304","KBC.createdBy.component.id","kozuch.ex-looker","system","2018-10-23T14:37:25+0200"
"in.c-looker.table_17","us-east-1","5150","76660305","KBC.createdBy.configuration.id","456656792","system","2018-10-23T14:37:25+0200"
"in.c-looker.table_19","us-east-1","5150","76640021","KBC.createdBy.component.id","kozuch.ex-looker","system","2018-10-23T12:40:28+0200"
"in.c-looker.table_19","us-east-1","5150","76640022","KBC.createdBy.configuration.id","456656792","system","2018-10-23T12:40:28+0200"
"in.c-looker.table_19","us-east-1","5150","76640144","KBC.lastUpdatedBy.component.id","kds-team.ex-looker","system","2018-11-29T12:06:22+0100"
"in.c-looker.table_19","us-east-1","5150","76640145","KBC.lastUpdatedBy.configuration.id","466771971","system","2018-11-29T12:06:22+0100"
"in.c-mysql.addresses","us-east-1","5150","76668247","KBC.createdBy.component.id","keboola.ex-db-mysql","system","2018-10-23T15:12:21+0200"
